🇨🇳央视(电信),#genre#
CCTV1,http://10.0.0.1:1234/rtp/238.255.2.91:5999
CCTV1,http://10.0.0.1:1234/rtp/238.255.0.113:4152
CCTV2,http://10.0.0.1:1234/rtp/238.255.2.11:5999
CCTV3,http://10.0.0.1:1234/rtp/238.255.2.133:5999
CCTV4,http://10.0.0.1:1234/rtp/238.255.2.92:5999
CCTV4,http://10.0.0.1:1234/rtp/238.255.2.139:5999
CCTV4,http://10.0.0.1:1234/rtp/238.255.3.105:5999
CCTV4欧洲,http://10.0.0.1:1234/rtp/238.255.2.213:5999
CCTV4美洲,http://10.0.0.1:1234/rtp/238.255.2.214:5999
CCTV5,http://10.0.0.1:1234/rtp/238.255.2.134:5999
CCTV5+,http://10.0.0.1:1234/rtp/238.255.2.185:5999
CCTV6,http://10.0.0.1:1234/rtp/238.255.2.135:5999
CCTV7,http://10.0.0.1:1234/rtp/238.255.2.12:5999
CCTV8,http://10.0.0.1:1234/rtp/238.255.2.136:5999
CCTV9,http://10.0.0.1:1234/rtp/238.255.2.155:5999
CCTV10,http://10.0.0.1:1234/rtp/238.255.2.13:5999
CCTV11,http://10.0.0.1:1234/rtp/238.255.2.14:5999
CCTV13,http://10.0.0.1:1234/rtp/238.255.2.16:5999
CCTV13,http://10.0.0.1:1234/rtp/238.255.0.37:9032
CCTV12,http://10.0.0.1:1234/rtp/238.255.2.15:5999
CCTV14,http://10.0.0.1:1234/rtp/238.255.2.17:5999
CCTV15,http://10.0.0.1:1234/rtp/238.255.2.18:5999
CCTV16,http://10.0.0.1:1234/rtp/238.255.2.217:5999
CCTV16,http://10.0.0.1:1234/rtp/238.255.2.110:5999
CCTV16,http://10.0.0.1:1234/rtp/238.255.2.145:5999
CCTV17,http://10.0.0.1:1234/rtp/238.255.2.137:5999

🔢️数字(电信),#genre#
CCTV风云音乐,http://10.0.0.1:1234/rtp/238.255.2.24:5999
CCTV第一剧场,http://10.0.0.1:1234/rtp/238.255.2.25:5999
CCTV世界地理,http://10.0.0.1:1234/rtp/238.255.2.26:5999
CCTV女性时尚,http://10.0.0.1:1234/rtp/238.255.2.27:5999
CCTV风云剧场,http://10.0.0.1:1234/rtp/238.255.2.28:5999
CCTV风云足球,http://10.0.0.1:1234/rtp/238.255.2.29:5999
CCTV怀旧剧场,http://10.0.0.1:1234/rtp/238.255.2.33:5999
CCTV兵器科技,http://10.0.0.1:1234/rtp/238.255.2.34:5999
CCTV央视台球,http://10.0.0.1:1234/rtp/238.255.2.224:5999
CCTV老故事,http://10.0.0.1:1234/rtp/238.255.2.35:5999
CCTV文化精品,http://10.0.0.1:1234/rtp/238.255.2.32:5999
CCTV中学生,http://10.0.0.1:1234/rtp/238.255.2.181:5999
CCTV发现之旅,http://10.0.0.1:1234/rtp/238.255.2.184:5999
CCTV高尔夫网球,http://10.0.0.1:1234/rtp/238.255.2.223:5999
CCTV卫生健康,http://10.0.0.1:1234/rtp/238.255.2.144:5999
CCTV卫生健康,http://10.0.0.1:1234/rtp/238.255.3.109:5999
CETV早期教育,http://10.0.0.1:1234/rtp/238.255.2.143:5999
CETV早期教育,http://10.0.0.1:1234/rtp/238.255.3.108:5999
CETV1,http://10.0.0.1:1234/rtp/238.255.2.105:5999
CETV2,http://10.0.0.1:1234/rtp/238.255.2.221:5999
CETV4,http://10.0.0.1:1234/rtp/238.255.2.222:5999
CGTN,http://10.0.0.1:1234/rtp/238.255.2.207:5999
CGTN,http://10.0.0.1:1234/rtp/238.255.2.178:5999
CGTN法语,http://10.0.0.1:1234/rtp/238.255.2.208:5999
CGTN法语,http://10.0.0.1:1234/rtp/238.255.2.83:5999
CGTN西语,http://10.0.0.1:1234/rtp/238.255.2.209:5999
CGTN俄语,http://10.0.0.1:1234/rtp/238.255.2.210:5999
CGTN阿语,http://10.0.0.1:1234/rtp/238.255.2.211:5999
CGTN纪录,http://10.0.0.1:1234/rtp/238.255.2.212:5999
CGTN纪录,http://10.0.0.1:1234/rtp/238.255.2.172:5999

❄️贵州(电信),#genre#
贵州卫视,http://10.0.0.1:1234/rtp/238.255.2.1:5999
贵州公共,http://10.0.0.1:1234/rtp/238.255.2.2:5999
贵州影视文艺,http://10.0.0.1:1234/rtp/238.255.2.3:5999
贵州影视文艺,http://10.0.0.1:1234/rtp/238.255.2.183:5999
贵州影视文艺,http://10.0.0.1:1234/rtp/238.255.2.200:5999
贵州影视文艺,http://10.0.0.1:1234/rtp/238.255.2.187:5999
贵州大众生活,http://10.0.0.1:1234/rtp/238.255.2.4:5999
贵州法制,http://10.0.0.1:1234/rtp/238.255.2.5:5999
贵州科教健康,http://10.0.0.1:1234/rtp/238.255.2.6:5999
贵州经济,http://10.0.0.1:1234/rtp/238.255.2.9:5999
贵州移动电视,http://10.0.0.1:1234/rtp/238.255.2.117:5999
贵阳综合,http://10.0.0.1:1234/rtp/238.255.2.19:5999
贵阳公共,http://10.0.0.1:1234/rtp/238.255.2.20:5999
贵阳影视文艺,http://10.0.0.1:1234/rtp/238.255.2.22:5999
贵阳生活,http://10.0.0.1:1234/rtp/238.255.2.22:5999
遵义公共,http://10.0.0.1:1234/rtp/238.255.2.152:5999
遵义综合,http://10.0.0.1:1234/rtp/238.255.2.153:5999
遵义都市,http://10.0.0.1:1234/rtp/238.255.2.154:5999
黔南1,http://10.0.0.1:1234/rtp/238.255.2.150:5999
黔南2,http://10.0.0.1:1234/rtp/238.255.2.151:5999
黔西南1,http://10.0.0.1:1234/rtp/238.255.2.126:5999
黔西南2,http://10.0.0.1:1234/rtp/238.255.2.127:5999
黔东南1,http://10.0.0.1:1234/rtp/238.255.2.179:5999
黔西综合,http://10.0.0.1:1234/rtp/238.255.2.161:5999
安顺1,http://10.0.0.1:1234/rtp/238.255.2.157:5999
安顺2,http://10.0.0.1:1234/rtp/238.255.2.158:5999
铜仁1,http://10.0.0.1:1234/rtp/238.255.2.31:5999
铜仁2,http://10.0.0.1:1234/rtp/238.255.2.87:5999
毕节1,http://10.0.0.1:1234/rtp/238.255.2.131:5999
毕节2,http://10.0.0.1:1234/rtp/238.255.2.132:5999
六盘水1,http://10.0.0.1:1234/rtp/238.255.2.115:5999
六盘水2,http://10.0.0.1:1234/rtp/238.255.2.116:5999
瓮安综合,http://10.0.0.1:1234/rtp/238.255.2.216:5999
瓮安综合,http://10.0.0.1:1234/rtp/238.255.2.201:5999
雷山综合,http://10.0.0.1:1234/rtp/238.255.2.128:5999
思南综合,http://10.0.0.1:1234/rtp/238.255.2.218:5999
凯里综合,http://10.0.0.1:1234/rtp/238.255.2.180:5999
桐梓综合,http://10.0.0.1:1234/rtp/238.255.2.162:5999
贵州旅游,http://10.0.0.1:1234/rtp/238.255.2.163:5999
贵州旅游,http://10.0.0.1:1234/rtp/238.255.2.217:5999
贵州旅游,http://10.0.0.1:1234/rtp/238.255.2.219:5999
贵州旅游,http://10.0.0.1:1234/rtp/238.255.2.202:5999

📡卫视(电信),#genre#
安徽卫视,http://10.0.0.1:1234/rtp/238.255.0.42:8856
安徽卫视,http://10.0.0.1:1234/rtp/238.255.2.101:5999
北京卫视,http://10.0.0.1:1234/rtp/238.255.0.117:4248
北京卫视,http://10.0.0.1:1234/rtp/238.255.2.81:5999
兵团卫视,http://10.0.0.1:1234/rtp/238.255.2.67:5999
兵团卫视,http://10.0.0.1:1234/rtp/238.255.2.69:5999
东方卫视,http://10.0.0.1:1234/rtp/238.255.2.98:5999
东方卫视,http://10.0.0.1:1234/rtp/238.255.0.114:4240
东南卫视,http://10.0.0.1:1234/rtp/238.255.0.43:8872
东南卫视,http://10.0.0.1:1234/rtp/238.255.2.103:5999
甘肃卫视,http://10.0.0.1:1234/rtp/238.255.2.73:5999
广东卫视,http://10.0.0.1:1234/rtp/238.255.0.118:4376
广东卫视,http://10.0.0.1:1234/rtp/238.255.2.59:5999
广西卫视,http://10.0.0.1:1234/rtp/238.255.2.64:5999
海南卫视,http://10.0.0.1:1234/rtp/238.255.2.58:5999
河北卫视,http://10.0.0.1:1234/rtp/238.255.0.151:9112
河北卫视,http://10.0.0.1:1234/rtp/238.255.2.77:5999
河南卫视,http://10.0.0.1:1234/rtp/238.255.2.74:5999
湖北卫视,http://10.0.0.1:1234/rtp/238.255.0.119:4384
湖北卫视,http://10.0.0.1:1234/rtp/238.255.2.102:5999
湖南卫视,http://10.0.0.1:1234/rtp/238.255.0.115:4256
湖南卫视,http://10.0.0.1:1234/rtp/238.255.2.93:5999
吉林卫视,http://10.0.0.1:1234/rtp/238.255.2.95:5999
江苏卫视,http://10.0.0.1:1234/rtp/238.255.0.122:4264
江苏卫视,http://10.0.0.1:1234/rtp/238.255.2.104:5999
江西卫视,http://10.0.0.1:1234/rtp/238.255.0.134:8712
江西卫视,http://10.0.0.1:1234/rtp/238.255.2.94:5999
康巴卫视,http://10.0.0.1:1234/rtp/238.255.2.140:5999
宁夏卫视,http://10.0.0.1:1234/rtp/238.255.2.75:5999
农林卫视,http://10.0.0.1:1234/rtp/238.255.2.120:5999
青海卫视,http://10.0.0.1:1234/rtp/238.255.2.51:5999
三沙卫视,http://10.0.0.1:1234/rtp/238.255.2.203:5999
厦门卫视,http://10.0.0.1:1234/rtp/238.255.2.205:5999
山东卫视,http://10.0.0.1:1234/rtp/238.255.2.97:5999
山东卫视,http://10.0.0.1:1234/rtp/238.255.0.120:4304
山西卫视,http://10.0.0.1:1234/rtp/238.255.2.71:5999
陕西卫视,http://10.0.0.1:1234/rtp/238.255.2.72:5999
深圳卫视,http://10.0.0.1:1234/rtp/238.255.0.121:4416
深圳卫视,http://10.0.0.1:1234/rtp/238.255.2.61:5999
四川卫视,http://10.0.0.1:1234/rtp/238.255.0.41:8848
四川卫视,http://10.0.0.1:1234/rtp/238.255.2.76:5999
天津卫视,http://10.0.0.1:1234/rtp/238.255.0.135:8720
天津卫视,http://10.0.0.1:1234/rtp/238.255.2.99:5999
西藏卫视,http://10.0.0.1:1234/rtp/238.255.2.23:5999
西藏卫视,http://10.0.0.1:1234/rtp/238.255.2.65:5999
新疆卫视,http://10.0.0.1:1234/rtp/238.255.2.66:5999
延边卫视,http://10.0.0.1:1234/rtp/238.255.2.204:5999
云南卫视,http://10.0.0.1:1234/rtp/238.255.2.63:5999
浙江卫视,http://10.0.0.1:1234/rtp/238.255.0.116:4272
浙江卫视,http://10.0.0.1:1234/rtp/238.255.2.100:5999
重庆卫视,http://10.0.0.1:1234/rtp/238.255.0.44:8864
重庆卫视,http://10.0.0.1:1234/rtp/238.255.2.78:5999
安多卫视,http://10.0.0.1:1234/rtp/238.255.2.189:5999
辽宁卫视,http://10.0.0.1:1234/rtp/238.255.0.136:8728
辽宁卫视,http://10.0.0.1:1234/rtp/238.255.2.69:5999
南方卫视,http://10.0.0.1:1234/rtp/238.255.2.60:5999
内蒙古卫视,http://10.0.0.1:1234/rtp/238.255.2.53:5999
黑龙江卫视,http://10.0.0.1:1234/rtp/238.255.0.123:4336
黑龙江卫视,http://10.0.0.1:1234/rtp/238.255.2.96:5999

🏀体育(电信),#genre#
汽摩频道,http://10.0.0.1:1234/rtp/238.255.2.148:5999
新视觉,http://10.0.0.1:1234/rtp/238.255.2.195:5999
游戏风云,http://10.0.0.1:1234/rtp/238.255.2.197:5999
游戏风云,http://10.0.0.1:1234/rtp/238.255.0.36:9024

👶卡通(电信),#genre#
山东教育,http://10.0.0.1:1234/rtp/238.255.2.79:5999
金鹰卡通,http://10.0.0.1:1234/rtp/238.255.2.55:5999
哈哈炫动,http://10.0.0.1:1234/rtp/238.255.2.56:5999
优漫卡通,http://10.0.0.1:1234/rtp/238.255.2.57:5999
嘉佳卡通,http://10.0.0.1:1234/rtp/238.255.2.62:5999
卡酷少儿,http://10.0.0.1:1234/rtp/238.255.2.80:5999
动漫秀场,http://10.0.0.1:1234/rtp/238.255.2.196:5999
动漫秀场,http://10.0.0.1:1234/rtp/238.255.0.30:8976
优漫卡通,http://10.0.0.1:1234/rtp/238.255.2.57:5999

🌺纪实(电信),#genre#
全纪实,http://10.0.0.1:1234/rtp/238.255.0.32:8992
全纪实,http://10.0.0.1:1234/rtp/238.255.2.188:5999
纪实人文,http://10.0.0.1:1234/rtp/238.255.2.106:5999
纪实人文,http://10.0.0.1:1234/rtp/238.255.0.45:8880
金鹰纪实,http://10.0.0.1:1234/rtp/238.255.2.108:5999
金鹰纪实,http://10.0.0.1:1234/rtp/238.255.0.150:9120
BTV科教,http://10.0.0.1:1234/rtp/238.255.2.107:5999
BTV科教,http://10.0.0.1:1234/rtp/238.255.2.107:5999
国学频道,http://10.0.0.1:1234/rtp/238.255.2.176:5999
法治天地,http://10.0.0.1:1234/rtp/238.255.2.190:5999
法治天地,http://10.0.0.1:1234/rtp/238.255.0.33:9000
快乐垂钓,http://10.0.0.1:1234/rtp/238.255.2.191:5999
茶频道,http://10.0.0.1:1234/rtp/238.255.2.192:5999
环球奇观,http://10.0.0.1:1234/rtp/238.255.2.43:5999
中国交通,http://10.0.0.1:1234/rtp/238.255.2.220:5999
中国天气,http://10.0.0.1:1234/rtp/238.255.0.26:8944

🍀特色(电信),#genre#
欢笑剧场,http://10.0.0.1:1234/rtp/238.255.2.198:5999
欢笑剧场,http://10.0.0.1:1234/rtp/238.255.2.215:5999
都市剧场,http://10.0.0.1:1234/rtp/238.255.2.194:5999
都市剧场,http://10.0.0.1:1234/rtp/238.255.0.29:8968
中华特产,http://10.0.0.1:1234/rtp/238.255.2.141:5999
中华特产,http://10.0.0.1:1234/rtp/238.255.3.106:5999
生态环境,http://10.0.0.1:1234/rtp/238.255.2.142:5999
生态环境,http://10.0.0.1:1234/rtp/238.255.3.107:5999
生活时尚,http://10.0.0.1:1234/rtp/238.255.2.193:5999
生活时尚,http://10.0.0.1:1234/rtp/238.255.0.39:9048
天元围棋,http://10.0.0.1:1234/rtp/238.255.2.7:5999
金色学堂,http://10.0.0.1:1234/rtp/238.255.2.21:5999
金色学堂,http://10.0.0.1:1234/rtp/238.255.0.28:8960
书画频道,http://10.0.0.1:1234/rtp/238.255.2.177:5999
财富天下,http://10.0.0.1:1234/rtp/238.255.2.186:5999
东方财经,http://10.0.0.1:1234/rtp/238.255.0.25:8936
百姓健康,http://10.0.0.1:1234/rtp/238.255.0.140:8760
摄影频道,http://10.0.0.1:1234/rtp/238.255.2.8:5999
第一财经,http://10.0.0.1:1234/rtp/238.255.0.64:8536
七彩戏剧,http://10.0.0.1:1234/rtp/238.255.0.34:9008
DOX雅趣,http://10.0.0.1:1234/rtp/238.255.2.143:5999
DOX怡家,http://10.0.0.1:1234/rtp/238.255.2.144:5999
DOX英伦,http://10.0.0.1:1234/rtp/238.255.2.145:5999
DOX映画,http://10.0.0.1:1234/rtp/238.255.2.139:5999
DOX4K,http://10.0.0.1:1234/rtp/238.255.2.147:5999
